ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模
450609,重庆誉存大数据科技有限公司,数据科学家,硕士,3-5年,10k-20k,大数据，顶级团队，硅谷公司文化，期权,,金融,A轮,50-150人
5349882,重庆齐祥控股集团有限公司,软件测试工程师,本科,3-5年,10k-20k,五险,,"移动互联网,电子商务",不需要融资,50-150人
5268281,上海捷科智诚科技有限公司,自动化测试工程师,大专,3-5年,8k-15k,带薪年假 加班工资 定期体检 年终奖,"Jmeter,Selenium","金融,其他",上市公司,500-2000人
4742019,重庆国狮科技有限公司,PHP高级工程师,本科,3-5年,6k-10k,良好的移动互联网产品，大牛的技术团队,"后端,服务器端",其他、移动互联网,不需要融资,15-50人
5201583,马上消费金融股份有限公司,模型验证专家,硕士,3-5年,25k-40k,"发展空间大,带薪年假,午餐补助,团队氛围好",风控,"金融,移动互联网",不需要融资,2000人以上
4265751,重庆蜂群科技有限公司,JAVA高级工程师,不限,5-10年,15k-28k,"节日礼金,生日礼金,年底双薪,年度旅游",,金融 移动互联网,天使轮,15-50人
5016579,重庆沙师兄软件开发有限公司,web前端,大专,1-3年,4k-7k,"带薪年假,工龄工资",,"数据服务,移动互联网",天使轮,50-150人
4929891,杭州安恒信息技术股份有限公司,安全研究员（重庆）,本科,3-5年,15k-25k,"五险一金,带薪年假,节假日福利,国内外旅游",,"信息安全 ,数据服务",D轮及以上,500-2000人
4008593,北京中科特瑞科技有限公司,重庆大数据工程师,本科,5-10年,10k-15k,"五险一金,周末双休,节日福利,定期体检","软件开发,Java","教育,数据服务",不需要融资,150-500人
4359857,重庆星坛科技有限公司,运维工程师,大专,1-3年,6k-8k,"团队合作,自主研发",Linux,移动互联网,不需要融资,150-500人
5159628,重庆厚疆区块链科技有限公司,Go语言开发工程师,大专,3-5年,10k-20k,"带薪年假,餐食补贴,交通补贴,年终奖金",,区块链,未融资,50-150人
5350485,广州智之美信息科技有限公司,运维工程师,大专,1-3年,6k-12k,"领导牛,福利好",Linux,移动互联网,不需要融资,15-50人
5344896,重庆替比网络科技有限公司,前端开发工程师,大专,1-3年,4k-8k,"上升空间大,五险一金,节日礼金,各种补助","HTML5,Javascript,CSS,Angularjs",教育,未融资,15-50人
5259634,重庆玖舆博泓科技有限公司,高级算法工程师,硕士,3-5年,10k-15k,"五险一金,团队旅游,节假日福利","人工智能,数据挖掘,深度学习","数据服务,其他",未融资,50-150人
